Basic Heads,Consumption of Electricity (in lakh units),Consumption of Electricity (in lakh units),Consumption of Electricity (in lakh units),Consumption of Electricity (in lakh units),Consumption of Electricity (in lakh units),Consumption of Electricity (in lakh units)
City Name,Domestic purpose,Commercial purpose,Industry purpose,Public Water Work & Street Light,Others,Total Consumption
Kohima,36.742,5.864,1.129,0.342,9.799,53.876
