Annexure D : List of susbtations and Available Capacity in MW terms,,
S.No,Name of Substation,"Available Capacity as on datein MW terms"
163,33/11 KV SS Mirdoddy,
164,33/11 KV SS Pedda Chepyala,
165,33/11 KV SS Kondapur,
166,Thukkapur,14
167,33/11 KV SS Mettu,
168,33/11 KV SS Tadakapally,
169,33/11 KV SS Gudikandula,
170,33/11 KV SS Thukkapur,
171,132/33 KV SS Chegunta,23
172,Bonala,15
173,33/11 KV SS Narlapur,
174,33/11 KV SS Kalwakunta,
175,33/11 KV SS Bonala,
176,Chegutna,15
177,33/11 KV SS Masaipet,
178,33/11 KV SS Chandaipet,
179,Narsingi,10
180,33/11 KV SS D.Dharmaram,
181,33/11 KV SS Narsingi,
182,Yeldurthy,15
183,33/11 KV SS Ramaipally,
184,33/11 KV SS Suraram,
185,33/11 KV SS Yeldurthy,
186,132/33 KV SS Habsipur,2
187,Chittapur,2
188,33/11 KV SS Akberpet,
189,33/11 KV SS Chittapur,
190,33/11 KV SS Pothareddypet,
191,Dubbak,2
192,33/11 KV SS Dubbak,
193,33/11 KV SS Gambeerpur,
194,33/11 KV SS Pedda Cheekode,
195,33/11 KV SS Chellapur,
196,Khajipur,2
197,33/11 KV SS Habsipur,
198,33/11 KV SS Jangapally,
199,33/11 KV SS Khajipur,
200,33/11 KV SS Rudraram,
201,Ragothampally,2
202,33/11 KV SS Raghothampally,
203,33/11 KV SS Dharmajipet,
204,132/33 KV SS Narsapur,24
205,Avancha,9
206,33/11 KV SS Avancha,
207,33/11 KV SS Hathnoora,
208,33/11 KV SS Waddepally,
209,33/11 KV SS Nastipur,
210,Kothapet,15
211,33/11 KV SS Lingapur,
212,Narsapur,15
213,33/11 KV SS Narsapur,
214,33/11 KV SS Kagazmaddur,
215,Reddy pally,15
216,33/11 KV SS Reddypally,
217,33/11 KV SS Chippalthurthy,
218,33/11 KV SS Siripura,
219,132/33 KV SS Pedda Shankarampet,5
220,Burugupally,5
221,33/11 KV SS Ramojipally,
222,33/11 KV SS Yellupet,
223,33/11 KV SS Bodagattu,
224,33/11 KV SS Burugupally,
225,Shankarampet,5
226,33/11 KV SS Shankarampet,
227,Regode,5
228,33/11 KV SS Regode,
229,33/11 KV SS Gajawada,
230,132/33 KV SS Manoharabad,34
231,kallakal,15
232,33/11 KV SS Kallakal,
233,Manoharabad,15
234,33/11 KV SS Manoharabad,
235,Masaipet,15
236,33/11 KV SS Ch. Gowraram,
237,33/11 KV SS Islampur,
238,Shivampet,10
239,33/11 KV SS Shivampet,
240,33/11 KV SS Sikindlapur,
241,33/11 KV SS CG Mukla,
242,33/11 KV SS Panbanda,
243,Toopran,15
244,33/11 KV SS Toopran,
245,33/11 KV SS Imamapur,
246,33/11 KV SS Danthanpally,
247,132/33 KV SS RC Puram,16.00
248,Ambuja,15
249,33/11 KV SS Patancheru Town,
250,AP Foils,15
251,33/11 KV SS Kollur,
252,Ashok Nagar,15
253,33/11 KV SS Ashoknagar,
254,33/11 KV SS Kistareddypet,
255,Chandanagar,15
256,33/11 KV SS Ashoknagar,
257,Giridher Ispat,15
258,33/11 KV SS MIG (,
259,Manjeera,15
260,33/11 KV SS Patancheru Town,
261,132/33 KV SS Singoor,5
262,Muddaipet,5
263,33/11 KV SS Muddaipet,
264,33/11 KV SS Sulthanpur,
265,33/11 KV SS Kodur,
266,33/11 KV SS Shivampet,
267,33/11 KV SS Mudimanik,
268,Peddareddypet,5
269,33/11 KV SS Peddareddypet,
270,132/33 KV SS Gajwel,36
271,Ahmedpur,15
272,33/11 KV SS Gurralasofa,
273,33/11 KV SS Ramsagar,
274,33/11 KV SS Ahmedipur,
275,33/11 KV SS Begampet,
276,33/11 KV SS Nemtoor,
277,Gajwel,15
278,33/11 KV SS Gajwel,
279,Gowraram,10
280,33/11 KV SS Advimajidpally,
281,33/11 KV SS Karkapatla,
282,33/11 KV SS Markook,
283,33/11 KV SS Wargal,
284,33/11 KV SS Gowraram,
285,Jagadevpur,15
286,33/11 KV SS Chatlapally,
287,33/11 KV SS Wardharajpur,
288,33/11 KV SS Munigadapa,
289,Mulugu,15
290,33/11 KV SS Mulugu,
291,33/11 KV SS Wantimamidi,
292,Pregnapur,13
293,33/11 KV SS Kodakandla,
294,33/11 KV SS Pregnapur,
295,132/33 KV SS Bollaram,39
296,"Bollaram I, III,IV",15
297,33/11 KV SS Bollaram No.I,
298,Bollaram II,15
299,33/11 KV SS Bollaram No.II,
300,ITC,15
301,33/11 KV SS Bollaram No.III,
Medak District Total:,351,
"",,
MAHABUBNAGAR DISTRICT,,
302,132/33 KV SS Kothur,62
303,Kothur,15
304,33/11 KV SS Kothur,
305,Sangem,15
306,33/11 KV SS Sangem,
307,33/11 KV SS Inmulnarva,
308,33/11 KV SS Kothapet,
309,33/11 KV SS Ippalapally,
310,Thimmapur,15
311,33/11 KV SS Thimmapur,
312,132/33 KV SS Makthal,8
313,Gudaballore,8
314,33/11 KV SS Gudeballore,
315,33/11 KV SS Kolpur,
316,33/11 KV SS Maganoor,
317,33/11 KV SS Krishna,
318,Jaklair(Marikal),8
319,33/11 KV SS Jaklair,
320,33/11 KV SS Bijwar,
321,Makthal,8
322,33/11 KV SS Makthal,
323,Narva,8
324,33/11 KV SS Narva,
325,33/11 KV SS Manthangode,
326,Pasupula,8
327,33/11 KV SS Pasupula,
328,33/11 KV SS Mushtipally,
329,132/33 KV SS Nagarkurnool,19
330,Bijinepally,15
331,33/11 KV SS Bijnapally,
332,33/11 KV SS Manganoor,
333,33/11 KV SS Waddeman,
334,Manthati,15
335,33/11 KV SS Manthati,
336,33/11 KV SS Kollapur X Roads,
337,33/11 KV SS Peddamudunoor,
338,33/11 KV SS Tadoor,
339,33/11 KV SS Yangampally,
340,Nagarkurnool,15
341,33/11 KV SS Nagarkurnool,
342,33/11 KV SS Ithole,
343,33/11 KV SS Kummera,
344,Rakonda(Telkapally),15
345,33/11 KV SS Telkapally,
346,33/11 KV SS Tallapally,
347,33/11 KV SS Rakonda,
348,33/11 KV SS Peddur,
349,33/11 KV SS Peddapur,
350,132/33 KV SS Maddur,9
351,Damaragidda,9
352,33/11 KV SS Damaragidda,
353,Kankurthy,9
354,33/11 KV SS Kankurthy,
355,33/11 KV SS Mogalmadka,
356,33/11 KV SS Balampet,
357,Kothapally,9
358,33/11 KV SS Kothapally,
359,33/11 KV SS Serivenkatapur,
360,33/11 KV SS Vepur,
361,33/11 KV SS Gundmal,
362,Maddur,9
363,33/11 KV SS Maddur,
364,33/11 KV SS Pallerla,
