Annexure D : List of susbtations and Available Capacity in MW terms,,
S.No,Name of Substation,"Available Capacity as on datein MW terms"
818,33/11 KV SS Adavukeshapur,
819,Jangaon,15
820,33/11 KV SS Jangaon-I,
821,33/11 KV SS Jangaon-II,
822,Marigadi,15
823,33/11 KV SS Marigadi,
824,Pembarthy,15
825,33/11 KV SS Jeedikal,
826,33/11 KV SS Lingala Ghanpur,
827,33/11 KV SS Nellutla,
828,33/11 KV SS Pemberthy,
829,132/33 KV SS Peddanagaram,15
830,Munigalaveedu,15
831,33/11 KV SS Kousalyadevipally,
832,33/11 KV SS Kommulavancha,
833,33/11 KV SS Munigalaveedu,
834,Peddanagaram,15
835,33/11 KV SS Pedda Nagaram,
836,Reponi,15
837,33/11 KV SS Danthalapally,
838,33/11 KV SS Peddamupparam,
839,33/11 KV SS Reponi,
840,Yellampet,15
841,33/11 KV SS Yellampet,
842,132/33 KV SS Mulugu,23
843,Mallampally,15
844,33/11 KV SS Abbapur,
845,33/11 KV SS Ramchandrapur,
846,33/11 KV SS Rangapur,
847,33/11 KV SS Mallampally,
848,Mulugu,15
849,33/11 KV SS Gorikothapally,
850,33/11 KV SS Mulugu,
851,33/11 KV SS Koppula,
852,Pasra,15
853,33/11 KV SS Govindraopet,
854,33/11 KV SS Venkatapur,
855,33/11 KV SS Kasimdevipeta,
856,33/11 KV SS Medaram,
857,33/11 KV SS Pasra,
858,Velthurlapally,15
859,33/11 KV SS Laxmidevipeta,
860,33/11 KV SS Peddapur,
861,33/11 KV SS Velthurlapally,
862,132/33 KV SS Waddekothapally,46
863,Chennur,15
864,33/11 KV SS Chennur,
865,Danthalapally,15
866,33/11 KV SS Chinnanagaram,
867,33/11 KV SS Haripirala,
868,33/11 KV SS Nellikuduru,
869,33/11 KV SS Ramanujapur,
870,Devaruppula,15
871,33/11 KV SS Devaruppula,
872,33/11 KV SS Dharmapuram,
873,33/11 KV SS Kadavendi,
874,33/11 KV SS Kodakandla,
875,33/11 KV SS Singarjpally,
876,Thorrur,15
877,33/11 KV SS Chinnavangara,
878,33/11 KV SS Khanapur,
879,33/11 KV SS Thorrur,
880,Vavilala,15
881,33/11 KV SS Erranty,
882,33/11 KV SS Kondapur,
883,33/11 KV SS Vavilala,
884,33/11 KV SS Palakurthy,
885,33/11 KV SS Pochampally,
886,Waddekothapally,13
887,33/11 KV SS Mondrai,
888,33/11 KV SS Weddekothapally,
889,132/33 KV SS Chityal,15
890,Chityal,15
891,33/11 KV SS Chityal,
892,33/11 KV SS Rangapur,
893,33/11 KV SS Giddemutharam,
894,Ramakistapur,15
895,33/11 KV SS Ramakistapur,
896,33/11 KV SS Tekumatla,
897,132/33 KV SS Mustyal,12
898,Bachannapet,12
899,33/11 KV SS Bachannapet,
900,33/11 KV SS Laxmapur 'X' road,
901,33/11 KV SS Padamati Keshavapur,
902,33/11 KV SS Ramchandrapuram,
903,Dhoolmitta,12
904,33/11 KV SS Akunoor,
905,33/11 KV SS Chityal,
906,33/11 KV SS Bekkal,
907,33/11 KV SS Dhoolmitta,
908,33/11 KV SS Mustyal,
909,Komuravelly,12
910,33/11 KV SS Guruvannapet,
911,33/11 KV SS Komuravelly,
912,33/11 KV SS Nagapuri,
913,Tharigoppula,12
914,33/11 KV SS Ankushapur,
915,33/11 KV SS Gagillapur,
916,33/11 KV SS Rebarthy,
917,33/11 KV SS Tharigoppula,
918,33/11 KV SS Veldanda,
919,132/33 KV SS Ayyagaripally,46
920,Amangal,15
921,33/11 KV SS Amangal,
922,33/11 KV SS Chinnaguduru,
923,33/11 KV SS Inugurthy,
924,33/11 KV SS Kalwala,
925,33/11 KV SS Shanigapuram,
926,Ayyagaripally,13
927,33/11 KV SS Ayyagaripally,
928,Mahabubabad-I,15
929,33/11 KV SS Dornakal,
930,33/11 KV SS Gundrathimadugu,
931,33/11 KV SS Jamandlapally,
932,33/11 KV SS Mahabubabad,
933,Mahabubabad-II,15
934,33/11 KV SS Bodhugonda,
935,33/11 KV SS Mogilicherla,
936,33/11 KV SS Nerada,
937,Maripeda,15
938,33/11 KV SS Edjerla,
939,33/11 KV SS Giripuram,
940,33/11 KV SS Maripeda,
941,Perumandlasankeesa,15
942,33/11 KV SS Gollacherla,
943,33/11 KV SS Mannegudem,
944,33/11 KV SS Perumandla Sankeesa,
945,33/11 KV SS Upparagudem,
946,132/33 KV SS Geesugonda,30
947,Geesugonda,15
948,33/11 KV SS Gesugonda,
949,33/11 KV SS Gorrekunta,
950,Machapur,15
951,33/11 KV SS Elkurthy,
952,33/11 KV SS Machapur,
953,33/11 KV SS Mondrai,
954,132/33 KV SS Waddepally,30
955,Nakkalagutta,15
956,33/11 KV SS Nakkalagutta,
957,Dharmasagar,15
958,33/11 KV SS Dharmasagar,
959,33/11 KV SS Jayagiri,
960,33/11 KV SS Mallikudurla,
961,33/11 KV SS Narayanagiri,
962,33/11 KV SS Velair,
963,KUC,15
964,33/11 KV SS Gopalpur,
965,33/11 KV SS KUC,
966,Madikonda,15
967,33/11 KV SS Madikonda,
968,33/11 KV SS Rampur,
969,33/11 KV SS Somidi,
970,33/11 KV SS Tekulagudem,
971,33/11 KV SS West city (Somidi),
972,REC,15
973,33/11 KV SS NGO's colony (Waddepally),
974,33/11 KV SS REC,
975,132/33 KV SS Raghunathpally,30
976,Quilashapur,15
977,33/11 KV SS Gabbeta,
978,33/11 KV SS Mekalagattu,
979,33/11 KV SS Narmetta,
980,33/11 KV SS Quilashapur,
981,Raghunathpally,15
982,33/11 KV SS Raghunathpally,
983,Singarajpally,15
984,33/11 KV SS Koilkonda,
985,33/11 KV SS Kundaram,
986,33/11 KV SS Pedda Thanda,
987,33/11 KV SS Wadicherla,
"",Warangal district total:,293
"",,
NIZAMABAD DISTRICT,,
988,132/33 KV SS Nizamabad,54
989,Bardipoor,15
990,33/11 KV SS Kanjar,
991,33/11 KV SS Bardipoor,
992,Gutpa,15
993,33/11 KV SS Amrad,
994,33/11 KV SS Mamidipally,
995,33/11 KV SS Madanpally,
996,33/11 KV SS Dasnagar,
997,Mudakpally,15
998,33/11 KV SS Mudakpally,
999,33/11 KV SS Manchippa,
1000,33/11 KV SS Thanakurd,
1001,33/11 KV SS Badsi,
1002,Navipet,15
1003,33/11 KV SS Mallaram,
1004,33/11 KV SS Kothapet,
1005,33/11 KV SS Khanapur Rly Gate,
1006,33/11 KV SS Palda,
1007,33/11 KV SS Malkapur(A),
1008,Nizamabad-I,15
1009,33/11 KV SS PHC/Nizamabad,
1010,33/11 KV SS Dubba/NZB,
1011,33/11 KV SS Mirchi Compound,
1012,Nizamabad-II,15
1013,33/11 KV SS Tilakgarden/NZB,
1014,33/11 KV SS Vinayaknagar/ NZB,
1015,Nizamabad-III,15
1016,33/11 KV SS Subashnagar,
1017,33/11 KV SS Gupanpally,
1018,33/11 KV SS Mubaraknagar,
1019,33/11 KV SS New HB Colony,
1020,33/11 KV SS Kaloor,
1021,Sarangapoor,15
1022,33/11 KV SS Sarangapur,
1023,33/11 KV SS Thanakalan,
1024,33/11 KV SS Arsapally,
1025,132/33 KV SS Nandipet,19
1026,Chikli,15
1027,33/11 KV SS Chikli,
1028,33/11 KV SS Nizampur,
1029,Makloor,15
1030,33/11 KV SS Velmal,
1031,33/11 KV SS Makloor,
1032,33/11 KV SS Gottimukkula,
1033,Nandipet,15
1034,33/11 KV SS Nandipet,
1035,33/11 KV SS Vannel-K,
1036,33/11 KV SS Kalledi,
1037,Noothpally,15
1038,33/11 KV SS Donkeshwar,
1039,33/11 KV SS Noothpally,
1040,33/11 KV SS Thondakur,
1041,Talveda,15
1042,33/11 KV SS Talveda,
1043,33/11 KV SS Badguna,
1044,132/33 KV SS Kamareddy,29
1045,Gandhari,15
1046,33/11 KV SS Brahmanpally,
1047,33/11 KV SS Gandhari,
1048,33/11 KV SS Sarvapoor,
1049,Kamareddy-I,15
1050,33/11 KV SS Kamareddy - I,
1051,Kamareddy-II,15
1052,33/11 KV SS Kamareddy - II,
1053,33/11 KV SS Velpugonda,
1054,33/11 KV SS Issaipet,
1055,33/11 KV SS Arepally,
1056,33/11 KV SS Bhavanipet-M,
1057,Kondapoor,14
1058,33/11 KV SS Chinnamallareddy,
1059,33/11 KV SS Lingapur,
1060,33/11 KV SS Kamareddy(H B)-III,
1061,33/11 KV SS Rajampet,
1062,Posanipet,15
1063,33/11 KV SS Posanipet,
1064,S.S.Nagar,15
1065,33/11 KV SS Utnoor,
1066,33/11 KV SS Adloor Yellareddy,
1067,33/11 KV SS Padmajiwadi,
1068,33/11 KV SS Sadasivnagar,
1069,Tadwai,15
1070,33/11 KV SS Thadwai,
1071,33/11 KV SS Kondapoor,
1072,33/11 KV SS Aragonda,
1073,33/11 KV SS Yerrapahad,
1074,132/33 KV SS Domakonda,25
1075,Bhiknoor,10
1076,33/11 KV SS Narsannapally,
1077,33/11 KV SS Talamadla,
1078,33/11 KV SS Thippapur,
1079,33/11 KV SS Jangampally,
1080,33/11 KV SS Laxmidevpally,
1081,Bibipet,15
1082,33/11 KV SS Mohommadapur,
1083,33/11 KV SS Bibipet,
1084,33/11 KV SS Janagaon,
1085,33/11 KV SS Issanagar,
1086,33/11 KV SS Tujalpoor,
1087,Chukkapur,15
1088,33/11 KV SS Chukkapur,
1089,33/11 KV SS Fareedpet,
1090,Domakonda,15
1091,33/11 KV SS Domakonda,
1092,Kyasampally,14
1093,33/11 KV SS Muthyampet,
1094,33/11 KV SS Kyasampally,
1095,132/33 KV SS Lingampet,23
1096,Bhavanipet,15
1097,33/11 KV SS Gandimasanipet,
1098,33/11 KV SS Bhavanipet-L,
1099,Lingampet,15
1100,33/11 KV SS Lingampet,
1101,33/11 KV SS Mothe,
1102,Ramlaxmanpally,15
1103,33/11 KV SS Ramlaxmanpally,
1104,33/11 KV SS Bhanapoor,
1105,S.S.Reddy,15
1106,33/11 KV SS Malthummeda,
1107,33/11 KV SS S.S.Reddy,
1108,33/11 KV SS Parmalla,
1109,33/11 KV SS Khannapur,
1110,132/33 KV SS Banswada,23
1111,Banswada,15
1112,33/11 KV SS Banswada,
1113,Birkur,15
1114,33/11 KV SS Birkur,
1115,33/11 KV SS Mirzapur,
1116,Konapur,15
1117,33/11 KV SS Konapur,
1118,33/11 KV SS Ibrahimpet,
1119,Maddelacheru,15
1120,33/11 KV SS Damarancha,
1121,33/11 KV SS Shanthapoor,
1122,33/11 KV SS Maddelacheru,
1123,33/11 KV SS Chillarigi,
1124,132/33 KV SS Reddypet,15
1125,Annaram,15
1126,33/11 KV SS Annaram,
1127,33/11 KV SS Yellampet,
1128,33/11 KV SS Somavarpet,
1129,33/11 KV SS Lachapet,
1130,Ramareddy,15
1131,33/11 KV SS Adloor,
1132,33/11 KV SS Shabdipur,
1133,33/11 KV SS Ramareddy,
1134,33/11 KV SS Reddypet,
1135,132/33 KV SS Bhiknoor,14
1136,Bhiknoor,14
1137,33/11 KV SS Bhiknoor,
1138,33/11 KV SS Basvapoor,
1139,Peddamallareddy,14
1140,33/11 KV SS Peddamallareddy,
1141,33/11 KV SS Kachapoor,
1142,33/11 KV SS Issannapally,
1143,132/33 KV SS Padmajiwadi,23
1144,Padmajiwadi,15
1145,33/11 KV SS Padmajiwadi,
1146,33/11 KV SS Sadashivanagar,
1147,33/11 KV SS Utnoor,
1148,132/33 KV SS Sirikonda,23
1149,Gadkole,15
1150,33/11 KV SS Gadkole,
1151,33/11 KV SS Thumpally,
1152,33/11 KV SS Honnajipet,
1153,Nyavanandi,15
1154,33/11 KV SS Nyavanandi,
1155,Pedda Valgote,15
1156,33/11 KV SS Kondoor,
1157,33/11 KV SS Pedda Walgote,
1158,Sirikonda,15
1159,33/11 KV SS Chimanpally,
1160,33/11 KV SS Sirikonda,
1161,132/33 KV SS Renjal,23
1162,Bodhan,15
1163,33/11 KV SS Yedapaly,
1164,33/11 KV SS A.R.P.Camp,
1165,33/11 KV SS Mangalpahad,
1166,Ch.Mavandi,15
1167,33/11 KV SS Pegadapally,
1168,33/11 KV SS Saloora,
1169,33/11 KV SS Ch.Mavandi,
1170,Degoan,15
1171,33/11 KV SS Aloor,
1172,33/11 KV SS Degaon,
1173,33/11 KV SS Manthani,
1174,33/11 KV SS Macharla,
1175,Navipet,15
1176,33/11 KV SS Navipet,
1177,33/11 KV SS Rampoor,
1178,33/11 KV SS Dandigutta,
1179,Neela,15
1180,33/11 KV SS Kosli,
1181,33/11 KV SS Yemcha,
1182,33/11 KV SS Neela,
1183,33/11 KV SS Tadbiloli,
1184,Rampoor,15
1185,33/11 KV SS Rampoor,
1186,132/33 KV SS Bheemgal,39
1187,Bheemgal,15
1188,33/11 KV SS Bheemgal,
1189,Gongopula,15
1190,33/11 KV SS Gongopula,
1191,33/11 KV SS Dubbaka,
1192,Jakranpally,15
1193,33/11 KV SS Jakranpally,
1194,33/11 KV SS Kaligote,
1195,33/11 KV SS Thorlikonda,
1196,33/11 KV SS Kolipak,
1197,33/11 KV SS Chengal,
1198,33/11 KV SS Janakampet,
1199,Kammarpally,15
1200,33/11 KV SS Kupkal,
1201,33/11 KV SS Ramannapet,
1202,33/11 KV SS Sunket,
1203,Konasamunder,15
1204,33/11 KV SS Thallapally,
1205,33/11 KV SS Mendora,
1206,33/11 KV SS Konasamunder,
1207,33/11 KV SS Pallikonda,
1208,Pachalanadukuda,15
1209,33/11 KV SS P.Nadukuda,
1210,33/11 KV SS Bada Bheemgal,
1211,Sirikonda,15
1212,33/11 KV SS Muchkur,
1213,132/33 KV SS Armoor,23
1214,Armoor,15
1215,33/11 KV SS Armoor,
1216,Munipally,15
1217,33/11 KV SS Ankapur,
1218,33/11 KV SS Issapally,
1219,33/11 KV SS Munipally,
1220,Perkit,15
1221,33/11 KV SS Perkit,
1222,33/11 KV SS Govindpet,
1223,33/11 KV SS Fathepur,
1224,33/11 KV SS Lakkora,
1225,Pipri,15
1226,33/11 KV SS Pipri,
1227,33/11 KV SS Komanpally,
1228,33/11 KV SS Maggidi,
1229,132/33 KV SS Bichkunda.,15
1230,Bichkunda,15
1231,33/11 KV SS Bichkunda,
1232,Jukkal,15
1233,33/11 KV SS Peddakodapgal,
1234,33/11 KV SS Jukkal,
1235,33/11 KV SS Kemrajkallali,
1236,33/11 KV SS Somur,
1237,Maddelacheru,15
1238,33/11 KV SS Pulkal,
1239,33/11 KV SS Kathgoan,
1240,33/11 KV SS Thadkole,
1241,Madnoor,15
1242,33/11 KV SS Madnoor,
1243,33/11 KV SS Menoor,
1244,33/11 KV SS Dongli,
1245,132/33 KV SS Pochampad,30
1246,Balkonda,15
1247,33/11 KV SS Balkonda,
1248,33/11 KV SS Vannel - B,
1249,33/11 KV SS Jalalpur,
1250,33/11 KV SS Padkal,
1251,33/11 KV SS Padgal,
1252,Mupkal,15
1253,33/11 KV SS Chittapoor,
1254,33/11 KV SS Kothapally,
1255,33/11 KV SS Pochampad,
1256,33/11 KV SS Mupkal,
1257,Renjarla,15
1258,33/11 KV SS Renjarla,
1259,33/11 KV SS Mendora,
1260,33/11 KV SS Shetpally,
1261,Yergatla,15
1262,33/11 KV SS Velgatur,
1263,33/11 KV SS Yergatla,
1264,33/11 KV SS Tallarampur,
1265,33/11 KV SS Thadpakal,
1266,132/33 KV SS Nizamsagar,7
1267,Maqdumpur,7
1268,33/11 KV SS Maqdumpur,
1269,Nagireddypet,7
1270,33/11 KV SS Azamabad,
1271,33/11 KV SS Athmakur,
1272,33/11 KV SS Achaipally,
1273,33/11 KV SS Nagireddypet,
1274,Nizamsagar,7
1275,33/11 KV SS Achampet,
1276,33/11 KV SS Mallur,
1277,33/11 KV SS Nizamsagar,
1278,Pitlam,7
1279,33/11 KV SS Chinnakodapgal,
1280,33/11 KV SS Pitlam,
1281,33/11 KV SS Thimmanagar,
1282,Yellareddy,7
1283,33/11 KV SS Mathmal,
1284,33/11 KV SS Yellareddy,
1285,132/33 KV SS Morthad,23
1286,Anksapur,15
1287,33/11 KV SS Kuknoor,
1288,33/11 KV SS Anksapur,
1289,33/11 KV SS Donkal,
1290,Kammarpally,15
1291,33/11 KV SS Kammarpally,
1292,33/11 KV SS Basheerabad,
1293,Kathlapoor,15
1294,33/11 KV SS Manala,
1295,Morthad,15
1296,33/11 KV SS Morthad,
1297,33/11 KV SS Palem,
1298,Thimmapur,15
1299,33/11 KV SS Thimmapur,
1300,33/11 KV SS Uploor,
1301,Velpur,15
1302,33/11 KV SS Velpur,
1303,33/11 KV SS Mothe,
"",Nizamabad district total:,407
"",,
KARIMNAGAR DISTRICT,,
1304,132/33 KV SS Karimnagar,39
1305,Bagathnagar,15
1306,33/11 KV SS Bhagathnagar,
1307,33/11 KV SS Ujjwalapark,
1308,Boinpalli,15
1309,33/11 KV SS Boinpally,
1310,33/11 KV SS Achamapally,
1311,Choppadandi,15
1312,33/11 KV SS Choppadandi,
1313,33/11 KV SS Gundi,
1314,33/11 KV SS Chityalapally,
1315,33/11 KV SS Rukmapur,
1316,Dharmaram,15
1317,33/11 KV SS Nagunur,
1318,33/11 KV SS Arnakonda,
1319,Gangadhara,15
1320,33/11 KV SS Gangadhara,
1321,33/11 KV SS Kothapally,
1322,33/11 KV SS Rudraram,
1323,33/11 KV SS Rekurthy,
1324,33/11 KV SS Shanagar,
1325,Padmanagar,15
1326,33/11 KV SS Padmanagar,
1327,Thotapally,15
1328,33/11 KV SS Asifnagar,
1329,Vavilaalapalli,15
1330,33/11 KV SS Vavilalapalli,
1331,Water Works,15
1332,33/11 KV SS Water works,
1333,33/11 KV SS Amedkarnagar,
1334,33/11 KV SS Tower Circle,
1335,132/33 KV SS Jagithyal,39
1336,Gollapally,15
1337,33/11 KV SS Gollapally,
1338,33/11 KV SS Laxmipur,
1339,33/11 KV SS Mallannapet,
1340,Jagityal,15
1341,33/11 KV SS Jagitial,
1342,33/11 KV SS Vidyanagar,
1343,33/11 KV SS Mothey,
1344,33/11 KV SS Jagitial Housing Board,
1345,Mallial,15
1346,33/11 KV SS Mallial,
1347,33/11 KV SS Pegadapally,
1348,33/11 KV SS TR Nagar,
1349,Raikal,15
1350,33/11 KV SS Raikal,
1351,33/11 KV SS Voddelingapur,
1352,33/11 KV SS Allipoor,
1353,33/11 KV SS Itikyal,
1354,33/11 KV SS Katlakunta,
1355,33/11 KV SS Veerapur,
1356,Sarangapur,15
1357,33/11 KV SS Sarangapur,
1358,33/11 KV SS kalleda,
1359,33/11 KV SS Polasa,
1360,33/11 KV SS Rechapally,
1361,Water Works,15
1362,33/11 KV SS Venkatapur,
1363,"33/11 KV SS Water works, Jagitial",
1364,33/11 KV SS Medipally,
1365,33/11 KV SS Venkatraopet,
1366,33/11 KV SS Medipally (W),
1367,33/11 KV SS Chelgal,
1368,33/11 KV SS Rangapur,
1369,132/33 KV SS Kataram,15
1370,Kataram,15
1371,33/11 KV SS Kataram,
1372,Mahadevpur,15
1373,33/11 KV SS Mahadevpur,
1374,33/11 KV SS Mahamutharam,
1375,33/11 KV SS Kaleshwaram,
1376,33/11 KV SS Peddampet,
1377,Mahamutharam,15
1378,33/11 KV SS Mutharam,
1379,Vallamkunta,15
1380,33/11 KV SS Gangaram,
1381,33/11 KV SS Vallamkunta,
1382,33/11 KV SS Thadicherla,
1383,33/11 KV SS Danwada,
1384,132/33 KV SS Durshed,31
1385,Algunur,15
1386,33/11 KV SS Alugunoor,
1387,Ambedkarnagar,15
1388,33/11 KV SS Muqdumpur,
1389,33/11 KV SS Bommakal,
1390,33/11 KV SS Cherlabuthkur,
1391,Elbaka,15
1392,33/11 KV SS Elbaka,
1393,Renigunta,15
1394,33/11 KV SS Nallagonda,
1395,33/11 KV SS Renikunta,
1396,33/11 KV SS Nustulapur,
1397,132/33 KV SS Siricilla,43
1398,Avunur,15
1399,33/11 KV SS Avunur,
1400,33/11 KV SS Kondapur,
1401,Mallaram,15
1402,33/11 KV SS Nampally,
1403,33/11 KV SS Rudravaram,
1404,33/11 KV SS Venkatraopally,
1405,33/11 KV SS Suddala,
1406,Nerela,15
1407,33/11 KV SS Nerella,
1408,33/11 KV SS Ramchandrapur,
1409,Rallapeta,15
1410,33/11 KV SS Namapur,
1411,33/11 KV SS Rallapet,
1412,33/11 KV SS Therlamaddi,
1413,33/11 KV SS Pothugal,
1414,Rudravaram,15
1415,33/11 KV SS Nizamabad,
1416,33/11 KV SS Bonala,
1417,33/11 KV SS Marthannapet,
1418,Sircilla,15
1419,33/11 KV SS Sircilla,
1420,33/11 KV SS Water works (Peddur),
1421,Textilepark,15
1422,33/11 KV SS Shivanagar,
1423,33/11 KV SS Textile Park,
1424,33/11 KV SS Thangallapelly,
1425,132/33 KV SS Husnabad,30
1426,B.D. Pally,15
1427,33/11 KV SS Potharam (S),
1428,Chigurumamidi,15
1429,33/11 KV SS Bheemdevarapally,
1430,33/11 KV SS Chigurumamidi,
1431,33/11 KV SS Indurthy,
1432,33/11 KV SS Rekonda,
1433,33/11 KV SS Mulkanoor,
1434,Husnabad,15
1435,33/11 KV SS Husnabad,
1436,Katkur,15
1437,33/11 KV SS Katkur,
1438,33/11 KV SS Kothakonda,
1439,Thotapally,15
1440,33/11 KV SS Gandipally,
1441,33/11 KV SS Thotapally,
1442,33/11 KV SS Gouravelly,
1443,132/33 KV SS Suglampally,13
1444,Kanukula,13
1445,33/11 KV SS Kanukula,
1446,33/11 KV SS Chinnabonkur,
1447,33/11 KV SS Odela,
1448,33/11 KV SS Kanagarthy,
1449,Katnepally,11
1450,33/11 KV SS Eligedu,
1451,33/11 KV SS Julapally,
1452,33/11 KV SS Kachapur,
1453,33/11 KV SS Lokapet,
1454,33/11 KV SS Vedurugatta,
1455,Peddapally,13
1456,33/11 KV SS Narayanpur,
1457,33/11 KV SS Palithem,
1458,33/11 KV SS Rangampally,
1459,33/11 KV SS Bompally,
1460,33/11 KV SS Peddapally,
1461,Sulthanbad,15
1462,33/11 KV SS Katnaelly,
1463,33/11 KV SS Garrepally,
1464,33/11 KV SS Sultanabad,
1465,132/33 KV SS Mallaram,23
1466,Mallaram,15
1467,33/11 KV SS Mallaram,
1468,Marrigadda,15
1469,33/11 KV SS Marrigadda,
1470,33/11 KV SS Marripally,
1471,33/11 KV SS Rudrangi,
1472,33/11 KV SS Sanugula,
1473,Nimmapally,15
1474,33/11 KV SS Nimmapally,
1475,33/11 KV SS Baosaipet,
1476,Vemulavada,15
1477,33/11 KV SS Vemulawada,
1478,132/33 KV SS Dharmapuri,15
1479,Dharmapuri,15
1480,33/11 KV SS Dharmapuri,
1481,Kalleda,15
1482,33/11 KV SS Sirikonda,
1483,Kolval,15
1484,33/11 KV SS Kolwai,
1485,33/11 KV SS Jaina,
1486,33/11 KV SS Donur,
1487,33/11 KV SS Mangela,
1488,Velgatur,15
1489,33/11 KV SS Stambampally,
1490,33/11 KV SS Velgatoor,
1491,33/11 KV SS Paidipally,
1492,132/33 KV SS Kamalapur (Karimnagar),23
1493,Kamalapur,15
1494,33/11 KV SS Kamalapur,
1495,Marriapallygudem,15
1496,33/11 KV SS Marripallygudem,
1497,33/11 KV SS Guniparthy,
1498,Thimmapur,15
1499,33/11 KV SS Thimmapur,
1500,132/33 KV SS Huzurabad,23
1501,Amudalapally,15
1502,33/11 KV SS Thadikal,
1503,33/11 KV SS Amdulapally,
1504,33/11 KV SS Kothagattu,
1505,33/11 KV SS Kannapur,
1506,Huzurabad,15
1507,33/11 KV SS Huzurabad,
1508,33/11 KV SS Kandugula,
1509,33/11 KV SS Uppal,
1510,Kothulanaduma,15
1511,33/11 KV SS Dandepally,
1512,33/11 KV SS Elkahturthy,
1513,33/11 KV SS Kothulanaduma,
1514,33/11 KV SS Peddapapaiahpally,
1515,Saidapur,15
1516,33/11 KV SS Saidapur,
1517,33/11 KV SS Godishala,
1518,132/33 KV SS Pudur,23
1519,Gangadhara,15
1520,33/11 KV SS Burugupally,
1521,Mallial,15
1522,33/11 KV SS Bathikepally,
1523,33/11 KV SS Thatipally,
1524,Pudur,15
1525,33/11 KV SS Malkapur,
1526,33/11 KV SS Pudur,
1527,33/11 KV SS Vattemla,
1528,33/11 KV SS Chekkapally,
1529,Thirumalapur,15
1530,33/11 KV SS Thirumalapur,
1531,33/11 KV SS Maddutla,
1532,33/11 KV SS Kodimyal,
1533,132/33 KV SS Yellareddy Pet,19
1534,Gambiraopet,15
1535,33/11 KV SS Gambhiraopet,
1536,33/11 KV SS Gajasingaram,
1537,33/11 KV SS Kothapally (Cess),
1538,33/11 KV SS Lingannapet,
1539,Veernapally,15
1540,33/11 KV SS Veernapally,
1541,33/11 KV SS Garjanapally,
1542,33/11 KV SS Rajannapet,
1543,Yellreddypet,15
1544,33/11 KV SS Yellareddypet,
1545,132/33 KV SS Manakondur,10
1546,Kondapalkala,10
1547,33/11 KV SS Chenjerla,
1548,33/11 KV SS Kondapalkala,
1549,33/11 KV SS Gattududdenapally,
1550,Manakondur,10
1551,33/11 KV SS Manakondur,
1552,Veldi,10
1553,33/11 KV SS Veldhi,
1554,33/11 KV SS Pochampally,
1555,132/33 KV SS Dharmaram,23
1556,Dharamaram,15
1557,33/11 KV SS Chilvakodur,
1558,33/11 KV SS Kothur,
1559,33/11 KV SS Yellapur,
1560,Gollakouta,15
1561,33/11 KV SS Gullakota,
1562,Maredpally,15
1563,33/11 KV SS Maredpally,
1564,33/11 KV SS Kilavanaparthy,
1565,33/11 KV SS Basanthnagar,
1566,Velgatur,15
1567,33/11 KV SS Stambampally,
1568,33/11 KV SS Velgatoor,
1569,33/11 KV SS Paidipally,
1570,132/33 KV SS Shanigaram,15
1571,Bejjanki,15
1572,33/11 KV SS Thotapally,
1573,33/11 KV SS Begumpet,
1574,33/11 KV SS Bejjanki,
1575,Koheda,15
1576,33/11 KV SS Samudrala,
1577,33/11 KV SS Koheda,
1578,Ramchandrapur,15
1579,33/11 KV SS Ramchandrapur,
1580,Sanigaram,15
1581,33/11 KV SS Shanigaram,
1582,132/33 KV SS Godhur,18
1583,Godur,15
1584,33/11 KV SS Godur,
1585,33/11 KV SS Yamapur,
1586,Ibrahimpatnam,15
1587,33/11 KV SS Ibrahimpatnam,
1588,33/11 KV SS Varshakonda,
1589,Mallapur,10
1590,33/11 KV SS Mallapur,
1591,33/11 KV SS New Dharmarajpally,
1592,33/11 KV SS Mogilipet,
1593,33/11 KV SS Raghavapet,
1594,33/11 KV SS VV Rao Pet,
1595,132/33 KV SS Manthini,23
1596,Gopalpur,15
1597,33/11 KV SS Gopalpur,
1598,33/11 KV SS Venkatapur,
1599,33/11 KV SS Koyyur,
1600,33/11 KV SS Eklaspur,
1601,Kamanpur,15
1602,33/11 KV SS Kamanpur,
1603,33/11 KV SS Begumpet,
1604,33/11 KV SS Allur,
1605,33/11 KV SS Rompikunta,
1606,33/11 KV SS Kalwacherla,
1607,33/11 KV SS Ramayyapally,
1608,33/11 KV SS Lakkaram,
1609,Manthani,15
1610,33/11 KV SS Manthani,
1611,33/11 KV SS Gunjapadugu,
1612,33/11 KV SS Mustyala,
1613,132/33 KV SS Korutla,39
1614,Dharmaram,15
1615,33/11 KV SS Dharmaram,
1616,33/11 KV SS Ailapur,
1617,33/11 KV SS Paidimadugu,
1618,Jaggasagar,15
1619,33/11 KV SS Atmakur,
1620,33/11 KV SS Jaggasagar,
1621,33/11 KV SS Peddapur,
1622,33/11 KV SS Konaraopet,
1623,33/11 KV SS Vellulla,
1624,Kathlapur,15
1625,33/11 KV SS Kathalapur,
1626,33/11 KV SS Ambaripet,
1627,33/11 KV SS Bhushanraopet,
1628,33/11 KV SS Thandrial,
1629,Korutla,15
1630,33/11 KV SS Korutla,
1631,33/11 KV SS Korutla Town,
1632,Mannegudem,15
1633,33/11 KV SS Mannegudem,
1634,33/11 KV SS Yakeenpur,
1635,33/11 KV SS Bommena,
1636,33/11 KV SS Govidaram,
